cow,message
beavis.zen.cow,Blender on Lilypad finds inner peace... huh huh huh.
blowfish.cow,Blender on Lilypad puffs up the competition!
bong.cow,Blender on Lilypad takes a hit of creativity!
bud-frogs.cow,Blender on Lilypad croaks: 'Bud... Weis... Er!'
bunny.cow,Blender on Lilypad hops into action!
cheese.cow,Blender on Lilypad is grate-tastic!
cower.cow,Blender on Lilypad hides... but with style!
daemon.cow,Blender on Lilypad runs silently in the background.
default.cow,Blender on Lilypad is udderly perfect!
dragon-and-cow.cow,Blender on Lilypad tames dragons and cows alike!
dragon.cow,Blender on Lilypad breathes fiery inspiration!
elephant-in-snake.cow,Blender on Lilypad dreams of big things.
elephant.cow,Blender on Lilypad never forgets its roots!
eyes.cow,Blender on Lilypad has its eyes on greatness!
flaming-sheep.cow,Blender on Lilypad sets the herd on fire!
frogs.cow,Blender on Lilypad is a froggy masterpiece!
ghostbusters.cow,Blender on Lilypad ain't afraid of no ghosts!
head-in.cow,Blender on Lilypad dives headfirst into 3D!
hellokitty.cow,Blender on Lilypad says hello to cuteness overload!
kiss.cow,Blender on Lilypad rocks and rolls!
kitty.cow,Blender on Lilypad purrs with perfection!
koala.cow,Blender on Lilypad hangs tight in the trees!
kosh.cow,Blender on Lilypad shares wisdom in ASCII form.
luke-koala.cow,Blender on Lilypad uses the Force!
meow.cow,Blender on Lilypad meows with charm!
milk.cow,Blender on Lilypad is moo-licious!
moofasa.cow,Blender on Lilypad reigns over the ASCII savanna!
moose.cow,Blender on Lilypad is a-moose-ing!
mutilated.cow,Blender on Lilypad isn’t for the faint of heart!
ren.cow,Blender on Lilypad gets silly with Ren!
satanic.cow,Blender on Lilypad summons creative demons!
sheep.cow,Blender on Lilypad flocks to success!
skeleton.cow,Blender on Lilypad is bone-chillingly good!
small.cow,Blender on Lilypad proves good things come in small packages!
stegosaurus.cow,Blender on Lilypad stomps through prehistory!
stimpy.cow,Blender on Lilypad gets silly with Stimpy!
supermilker.cow,Blender on Lilypad milks creativity dry!
surgery.cow,Blender on Lilypad operates with precision!
three-eyes.cow,Blender on Lilypad sees it all... thrice!
turkey.cow,Blender on Lilypad is stuffed with style!
turtle.cow,Blender on Lilypad wins the race slowly and surely!
tux.cow,Blender on Lilypad waddles with the power of Linux!
TuxStab.cow,Blender on Lilypad slices through the 3D world!
udder.cow,Blender on Lilypad delivers the freshest milk!
vader-koala.cow,Blender on Lilypad joins the Dark Side!
vader.cow,Blender on Lilypad finds your lack of cows disturbing!
www.cow,Blender on Lilypad surfs the web in 3D!
bud-frogs.cow,Blender on Lilypad is ribbity rad!
lilycorn.cow,Blender on Lilypad sparkles with unicorn magic!
lilyduck.cow,Blender on Lilypad quacks up the competition!
lilyfrog.cow,Blender on Lilypad leaps to perfection!
lilypad.cow,Blender on Lilypad sits in its natural habitat!
lilyrocket.cow,Blender on Lilypad launches to new heights!
